Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.90      2.10     2.10 2192899084     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::operator[](unsigned long)
 26.84      3.92     1.82     5000     0.36     1.07  CollisionDetector::checkCollisions()
 21.24      5.36     1.44 544388728     0.00     0.00  CollisionDetector::checkCollision(glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&, glm::vec<2, float, (glm::qualifier)0> const&)
  4.35      5.65     0.29                             std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.92      5.78     0.13    19560     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  1.11      5.86     0.07  2281998     0.00     0.00  VertexArrayObject::bind() const
  1.03      5.92     0.07  2281998     0.00     0.00  ObjectTransform::getTransform()
  0.88      5.99     0.06    19560     0.00     0.00  std::random_device::random_device()
  0.74      6.04     0.05 12185880     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.74      6.08     0.05  2301584     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.74      6.13     0.05  2271998     0.00     0.00  Object::movePosition(glm::vec<2, float, (glm::qualifier)0>)
  0.59      6.17     0.04  2276891     0.00     0.00  VertexArrayObject::updateBufferData(unsigned long, void const*, unsigned long)
  0.59      6.21     0.04                             _init
  0.44      6.25     0.03  4538886     0.00     0.00  glm::vec<2, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<2, float, (glm::qualifier)0> const&, float)
  0.44      6.28     0.03  2276998     0.00     0.00  TexturedObject::draw()
  0.44      6.30     0.03  2271405     0.00     0.00  AsteroidObject::isAlive()
